[train-e-0/150] [train_acc-0.3053 train_loss-59.8221] [6337/20756] 
[val-e-0/150] [val_acc-0.3818 val_loss-1.7868] [2621/6864]
[train-e-1/150] [train_acc-0.6024 train_loss-37.7931] [12504/20756] 
[val-e-1/150] [val_acc-0.4384 val_loss-1.7148] [3009/6864]
[train-e-2/150] [train_acc-0.7697 train_loss-26.7803] [15976/20756] 
[val-e-2/150] [val_acc-0.4572 val_loss-1.7009] [3138/6864]
[train-e-3/150] [train_acc-0.8458 train_loss-14.4198] [17555/20756] 
[val-e-3/150] [val_acc-0.4760 val_loss-1.6779] [3267/6864]
[train-e-4/150] [train_acc-0.8887 train_loss-11.2515] [18446/20756] 
[val-e-4/150] [val_acc-0.5016 val_loss-1.6553] [3443/6864]
[train-e-5/150] [train_acc-0.9193 train_loss-10.8761] [19081/20756] 
[val-e-5/150] [val_acc-0.4965 val_loss-1.6605] [3408/6864]
[train-e-6/150] [train_acc-0.9352 train_loss-11.4036] [19412/20756] 
[val-e-6/150] [val_acc-0.4719 val_loss-1.6809] [3239/6864]
[train-e-7/150] [train_acc-0.9463 train_loss-7.8543] [19641/20756] 
[val-e-7/150] [val_acc-0.4907 val_loss-1.6655] [3368/6864]
[train-e-8/150] [train_acc-0.9568 train_loss-5.7598] [19859/20756] 
[val-e-8/150] [val_acc-0.5050 val_loss-1.6473] [3466/6864]
[train-e-9/150] [train_acc-0.9582 train_loss-7.2175] [19888/20756] 
[val-e-9/150] [val_acc-0.5160 val_loss-1.6457] [3542/6864]
[train-e-10/150] [train_acc-0.9722 train_loss-2.2921] [20180/20756] 
[val-e-10/150] [val_acc-0.4897 val_loss-1.6665] [3361/6864]
[train-e-11/150] [train_acc-0.9703 train_loss-4.8016] [20139/20756] 
[val-e-11/150] [val_acc-0.5016 val_loss-1.6538] [3443/6864]
[train-e-12/150] [train_acc-0.9752 train_loss-3.4345] [20242/20756] 
[val-e-12/150] [val_acc-0.5061 val_loss-1.6493] [3474/6864]
[train-e-13/150] [train_acc-0.9788 train_loss-2.1679] [20316/20756] 
[val-e-13/150] [val_acc-0.5259 val_loss-1.6325] [3610/6864]
[train-e-14/150] [train_acc-0.9830 train_loss-1.8236] [20403/20756] 
[val-e-14/150] [val_acc-0.4945 val_loss-1.6618] [3394/6864]
[train-e-15/150] [train_acc-0.9846 train_loss-1.1467] [20436/20756] 
[val-e-15/150] [val_acc-0.4959 val_loss-1.6605] [3404/6864]
[train-e-16/150] [train_acc-0.9840 train_loss-1.3561] [20423/20756] 
[val-e-16/150] [val_acc-0.4875 val_loss-1.6648] [3346/6864]
[train-e-17/150] [train_acc-0.9835 train_loss-4.3431] [20414/20756] 
[val-e-17/150] [val_acc-0.4876 val_loss-1.6660] [3347/6864]
[train-e-18/150] [train_acc-0.9841 train_loss-1.1446] [20427/20756] 
[val-e-18/150] [val_acc-0.5105 val_loss-1.6482] [3504/6864]
[train-e-19/150] [train_acc-0.9882 train_loss-1.9206] [20511/20756] 
[val-e-19/150] [val_acc-0.4853 val_loss-1.6677] [3331/6864]
[train-e-20/150] [train_acc-0.9888 train_loss-0.8207] [20524/20756] 
[val-e-20/150] [val_acc-0.5235 val_loss-1.6350] [3593/6864]
[train-e-21/150] [train_acc-0.9904 train_loss-0.4698] [20557/20756] 
[val-e-21/150] [val_acc-0.5322 val_loss-1.6259] [3653/6864]
[train-e-22/150] [train_acc-0.9921 train_loss-0.4779] [20591/20756] 
[val-e-22/150] [val_acc-0.5118 val_loss-1.6449] [3513/6864]
[train-e-23/150] [train_acc-0.9937 train_loss-2.9266] [20625/20756] 
[val-e-23/150] [val_acc-0.4999 val_loss-1.6547] [3431/6864]
[train-e-24/150] [train_acc-0.9948 train_loss-0.8905] [20649/20756] 
[val-e-24/150] [val_acc-0.5067 val_loss-1.6487] [3478/6864]
[train-e-25/150] [train_acc-0.9924 train_loss-0.6925] [20598/20756] 
[val-e-25/150] [val_acc-0.5117 val_loss-1.6440] [3512/6864]
[train-e-26/150] [train_acc-0.9947 train_loss-0.7205] [20647/20756] 
[val-e-26/150] [val_acc-0.5106 val_loss-1.6457] [3505/6864]
[train-e-27/150] [train_acc-0.9936 train_loss-0.8168] [20624/20756] 
[val-e-27/150] [val_acc-0.5214 val_loss-1.6346] [3579/6864]
[train-e-28/150] [train_acc-0.9936 train_loss-0.9581] [20623/20756] 
[val-e-28/150] [val_acc-0.5154 val_loss-1.6403] [3538/6864]
[train-e-29/150] [train_acc-0.9947 train_loss-1.3744] [20646/20756] 
[val-e-29/150] [val_acc-0.4926 val_loss-1.6617] [3381/6864]
[train-e-30/150] [train_acc-0.9948 train_loss-0.8586] [20648/20756] 
[val-e-30/150] [val_acc-0.5275 val_loss-1.6288] [3621/6864]
[train-e-31/150] [train_acc-0.9958 train_loss-0.3307] [20668/20756] 
[val-e-31/150] [val_acc-0.5205 val_loss-1.6361] [3573/6864]
[train-e-32/150] [train_acc-0.9944 train_loss-1.0010] [20639/20756] 
[val-e-32/150] [val_acc-0.5060 val_loss-1.6476] [3473/6864]
[train-e-33/150] [train_acc-0.9952 train_loss-0.1514] [20657/20756] 
[val-e-33/150] [val_acc-0.5119 val_loss-1.6438] [3514/6864]
[train-e-34/150] [train_acc-0.9947 train_loss-0.9042] [20647/20756] 
[val-e-34/150] [val_acc-0.5152 val_loss-1.6412] [3536/6864]
