[train-e-0/150] [train_acc-0.4666 train_loss-50.4869] [9684/20756] 
[val-e-0/150] [val_acc-0.5613 val_loss-1.6726] [3853/6864]
[train-e-1/150] [train_acc-0.6543 train_loss-35.5347] [13580/20756] 
[val-e-1/150] [val_acc-0.5992 val_loss-1.6143] [4113/6864]
[train-e-2/150] [train_acc-0.7675 train_loss-29.6141] [15931/20756] 
[val-e-2/150] [val_acc-0.6004 val_loss-1.5930] [4121/6864]
[train-e-3/150] [train_acc-0.8345 train_loss-18.0362] [17320/20756] 
[val-e-3/150] [val_acc-0.6243 val_loss-1.5707] [4285/6864]
[train-e-4/150] [train_acc-0.8787 train_loss-16.8377] [18238/20756] 
[val-e-4/150] [val_acc-0.6203 val_loss-1.5654] [4258/6864]
[train-e-5/150] [train_acc-0.9079 train_loss-11.4303] [18845/20756] 
[val-e-5/150] [val_acc-0.6160 val_loss-1.5645] [4228/6864]
[train-e-6/150] [train_acc-0.9247 train_loss-13.0463] [19194/20756] 
[val-e-6/150] [val_acc-0.6269 val_loss-1.5581] [4303/6864]
[train-e-7/150] [train_acc-0.9380 train_loss-7.6884] [19469/20756] 
[val-e-7/150] [val_acc-0.6238 val_loss-1.5483] [4282/6864]
[train-e-8/150] [train_acc-0.9452 train_loss-4.4350] [19618/20756] 
[val-e-8/150] [val_acc-0.6214 val_loss-1.5517] [4265/6864]
[train-e-9/150] [train_acc-0.9550 train_loss-5.4061] [19821/20756] 
[val-e-9/150] [val_acc-0.6240 val_loss-1.5439] [4283/6864]
[train-e-10/150] [train_acc-0.9580 train_loss-6.3826] [19885/20756] 
[val-e-10/150] [val_acc-0.6336 val_loss-1.5417] [4349/6864]
[train-e-11/150] [train_acc-0.9635 train_loss-3.3758] [19998/20756] 
[val-e-11/150] [val_acc-0.6246 val_loss-1.5421] [4287/6864]
[train-e-12/150] [train_acc-0.9680 train_loss-3.9262] [20091/20756] 
[val-e-12/150] [val_acc-0.6168 val_loss-1.5470] [4234/6864]
[train-e-13/150] [train_acc-0.9706 train_loss-3.4610] [20145/20756] 
[val-e-13/150] [val_acc-0.6318 val_loss-1.5376] [4337/6864]
[train-e-14/150] [train_acc-0.9735 train_loss-3.6776] [20205/20756] 
[val-e-14/150] [val_acc-0.6113 val_loss-1.5448] [4196/6864]
[train-e-15/150] [train_acc-0.9761 train_loss-3.9300] [20259/20756] 
[val-e-15/150] [val_acc-0.6388 val_loss-1.5250] [4385/6864]
[train-e-16/150] [train_acc-0.9771 train_loss-3.9304] [20281/20756] 
[val-e-16/150] [val_acc-0.6380 val_loss-1.5291] [4379/6864]
[train-e-17/150] [train_acc-0.9807 train_loss-1.9808] [20355/20756] 
[val-e-17/150] [val_acc-0.6257 val_loss-1.5346] [4295/6864]
[train-e-18/150] [train_acc-0.9830 train_loss-1.9225] [20403/20756] 
[val-e-18/150] [val_acc-0.6256 val_loss-1.5367] [4294/6864]
[train-e-19/150] [train_acc-0.9804 train_loss-2.1787] [20350/20756] 
[val-e-19/150] [val_acc-0.6256 val_loss-1.5373] [4294/6864]
[train-e-20/150] [train_acc-0.9833 train_loss-1.8885] [20409/20756] 
[val-e-20/150] [val_acc-0.6251 val_loss-1.5350] [4291/6864]
[train-e-21/150] [train_acc-0.9848 train_loss-1.7041] [20440/20756] 
[val-e-21/150] [val_acc-0.6326 val_loss-1.5308] [4342/6864]
[train-e-22/150] [train_acc-0.9857 train_loss-1.0306] [20460/20756] 
[val-e-22/150] [val_acc-0.6266 val_loss-1.5367] [4301/6864]
[train-e-23/150] [train_acc-0.9874 train_loss-2.0004] [20495/20756] 
[val-e-23/150] [val_acc-0.6173 val_loss-1.5457] [4237/6864]
[train-e-24/150] [train_acc-0.9850 train_loss-2.4466] [20444/20756] 
[val-e-24/150] [val_acc-0.6263 val_loss-1.5356] [4299/6864]
[train-e-25/150] [train_acc-0.9875 train_loss-1.1809] [20496/20756] 
[val-e-25/150] [val_acc-0.6333 val_loss-1.5262] [4347/6864]
[train-e-26/150] [train_acc-0.9882 train_loss-1.6758] [20512/20756] 
[val-e-26/150] [val_acc-0.6375 val_loss-1.5257] [4376/6864]
[train-e-27/150] [train_acc-0.9881 train_loss-2.7761] [20508/20756] 
[val-e-27/150] [val_acc-0.6142 val_loss-1.5456] [4216/6864]
