[train-e-0/150] [train_acc-0.5578 train_loss-48.0332] [11578/20756] 
[val-e-0/150] [val_acc-0.5978 val_loss-1.6298] [4103/6864]
[train-e-1/150] [train_acc-0.7393 train_loss-29.8611] [15345/20756] 
[val-e-1/150] [val_acc-0.6527 val_loss-1.5645] [4480/6864]
[train-e-2/150] [train_acc-0.8323 train_loss-23.0387] [17275/20756] 
[val-e-2/150] [val_acc-0.6626 val_loss-1.5398] [4548/6864]
[train-e-3/150] [train_acc-0.8842 train_loss-14.7135] [18352/20756] 
[val-e-3/150] [val_acc-0.6738 val_loss-1.5149] [4625/6864]
[train-e-4/150] [train_acc-0.9161 train_loss-8.6352] [19014/20756] 
[val-e-4/150] [val_acc-0.6659 val_loss-1.5201] [4571/6864]
[train-e-5/150] [train_acc-0.9391 train_loss-6.5724] [19491/20756] 
[val-e-5/150] [val_acc-0.6630 val_loss-1.5147] [4551/6864]
[train-e-6/150] [train_acc-0.9473 train_loss-5.3104] [19662/20756] 
[val-e-6/150] [val_acc-0.6808 val_loss-1.4996] [4673/6864]
[train-e-7/150] [train_acc-0.9579 train_loss-7.1955] [19882/20756] 
[val-e-7/150] [val_acc-0.6753 val_loss-1.4997] [4635/6864]
[train-e-8/150] [train_acc-0.9660 train_loss-5.6223] [20051/20756] 
[val-e-8/150] [val_acc-0.6652 val_loss-1.5075] [4566/6864]
[train-e-9/150] [train_acc-0.9707 train_loss-5.6528] [20148/20756] 
[val-e-9/150] [val_acc-0.6700 val_loss-1.4973] [4599/6864]
[train-e-10/150] [train_acc-0.9747 train_loss-5.3555] [20231/20756] 
[val-e-10/150] [val_acc-0.6623 val_loss-1.5049] [4546/6864]
[train-e-11/150] [train_acc-0.9768 train_loss-4.8537] [20274/20756] 
[val-e-11/150] [val_acc-0.6608 val_loss-1.5038] [4536/6864]
[train-e-12/150] [train_acc-0.9796 train_loss-2.7788] [20332/20756] 
[val-e-12/150] [val_acc-0.6745 val_loss-1.4932] [4630/6864]
[train-e-13/150] [train_acc-0.9827 train_loss-2.6545] [20396/20756] 
[val-e-13/150] [val_acc-0.6782 val_loss-1.4900] [4655/6864]
[train-e-14/150] [train_acc-0.9833 train_loss-3.0844] [20410/20756] 
[val-e-14/150] [val_acc-0.6512 val_loss-1.5106] [4470/6864]
[train-e-15/150] [train_acc-0.9840 train_loss-2.6060] [20424/20756] 
[val-e-15/150] [val_acc-0.6604 val_loss-1.5013] [4533/6864]
[train-e-16/150] [train_acc-0.9849 train_loss-1.4318] [20443/20756] 
[val-e-16/150] [val_acc-0.6684 val_loss-1.4964] [4588/6864]
[train-e-17/150] [train_acc-0.9870 train_loss-1.0417] [20486/20756] 
[val-e-17/150] [val_acc-0.6713 val_loss-1.4937] [4608/6864]
[train-e-18/150] [train_acc-0.9888 train_loss-1.4332] [20523/20756] 
[val-e-18/150] [val_acc-0.6675 val_loss-1.4946] [4582/6864]
[train-e-19/150] [train_acc-0.9889 train_loss-1.6041] [20525/20756] 
[val-e-19/150] [val_acc-0.6630 val_loss-1.4994] [4551/6864]
[train-e-20/150] [train_acc-0.9920 train_loss-0.6313] [20589/20756] 
[val-e-20/150] [val_acc-0.6613 val_loss-1.4992] [4539/6864]
[train-e-21/150] [train_acc-0.9934 train_loss-0.8021] [20619/20756] 
[val-e-21/150] [val_acc-0.6659 val_loss-1.4959] [4571/6864]
[train-e-22/150] [train_acc-0.9928 train_loss-1.0408] [20607/20756] 
[val-e-22/150] [val_acc-0.6655 val_loss-1.4970] [4568/6864]
[train-e-23/150] [train_acc-0.9950 train_loss-0.7898] [20652/20756] 
[val-e-23/150] [val_acc-0.6640 val_loss-1.4965] [4558/6864]
[train-e-24/150] [train_acc-0.9948 train_loss-0.8018] [20649/20756] 
[val-e-24/150] [val_acc-0.6675 val_loss-1.4937] [4582/6864]
[train-e-25/150] [train_acc-0.9950 train_loss-0.9432] [20652/20756] 
[val-e-25/150] [val_acc-0.6677 val_loss-1.4949] [4583/6864]
[train-e-26/150] [train_acc-0.9949 train_loss-1.1514] [20650/20756] 
[val-e-26/150] [val_acc-0.6678 val_loss-1.4956] [4584/6864]
[train-e-27/150] [train_acc-0.9946 train_loss-0.1265] [20644/20756] 
[val-e-27/150] [val_acc-0.6699 val_loss-1.4945] [4598/6864]
[train-e-28/150] [train_acc-0.9958 train_loss-0.3676] [20669/20756] 
[val-e-28/150] [val_acc-0.6702 val_loss-1.4936] [4600/6864]
[train-e-29/150] [train_acc-0.9959 train_loss-0.6412] [20670/20756] 
[val-e-29/150] [val_acc-0.6693 val_loss-1.4938] [4594/6864]
[train-e-30/150] [train_acc-0.9951 train_loss-0.9881] [20654/20756] 
[val-e-30/150] [val_acc-0.6687 val_loss-1.4938] [4590/6864]
[train-e-31/150] [train_acc-0.9959 train_loss-0.5626] [20670/20756] 
[val-e-31/150] [val_acc-0.6686 val_loss-1.4938] [4589/6864]
[train-e-32/150] [train_acc-0.9962 train_loss-0.7964] [20678/20756] 
[val-e-32/150] [val_acc-0.6689 val_loss-1.4937] [4591/6864]
[train-e-33/150] [train_acc-0.9957 train_loss-0.3701] [20667/20756] 
[val-e-33/150] [val_acc-0.6686 val_loss-1.4937] [4589/6864]
[train-e-34/150] [train_acc-0.9949 train_loss-0.0534] [20651/20756] 
[val-e-34/150] [val_acc-0.6684 val_loss-1.4937] [4588/6864]
[train-e-35/150] [train_acc-0.9954 train_loss-0.5082] [20660/20756] 
[val-e-35/150] [val_acc-0.6681 val_loss-1.4938] [4586/6864]
[train-e-36/150] [train_acc-0.9951 train_loss-0.3276] [20654/20756] 
[val-e-36/150] [val_acc-0.6675 val_loss-1.4938] [4582/6864]
[train-e-37/150] [train_acc-0.9955 train_loss-0.6105] [20662/20756] 
[val-e-37/150] [val_acc-0.6681 val_loss-1.4940] [4586/6864]
[train-e-38/150] [train_acc-0.9957 train_loss-0.4415] [20666/20756] 
[val-e-38/150] [val_acc-0.6681 val_loss-1.4941] [4586/6864]
[train-e-39/150] [train_acc-0.9954 train_loss-0.3051] [20660/20756] 
[val-e-39/150] [val_acc-0.6677 val_loss-1.4940] [4583/6864]
[train-e-40/150] [train_acc-0.9954 train_loss-0.2379] [20660/20756] 
[val-e-40/150] [val_acc-0.6680 val_loss-1.4940] [4585/6864]
[train-e-41/150] [train_acc-0.9960 train_loss-0.4327] [20672/20756] 
[val-e-41/150] [val_acc-0.6680 val_loss-1.4940] [4585/6864]
[train-e-42/150] [train_acc-0.9961 train_loss-1.3092] [20675/20756] 
[val-e-42/150] [val_acc-0.6680 val_loss-1.4940] [4585/6864]
[train-e-43/150] [train_acc-0.9961 train_loss-0.5298] [20675/20756] 
[val-e-43/150] [val_acc-0.6677 val_loss-1.4940] [4583/6864]
[train-e-44/150] [train_acc-0.9958 train_loss-0.3275] [20669/20756] 
[val-e-44/150] [val_acc-0.6677 val_loss-1.4940] [4583/6864]
[train-e-45/150] [train_acc-0.9947 train_loss-1.2117] [20647/20756] 
[val-e-45/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-46/150] [train_acc-0.9959 train_loss-0.5932] [20671/20756] 
[val-e-46/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-47/150] [train_acc-0.9958 train_loss-0.3545] [20668/20756] 
[val-e-47/150] [val_acc-0.6675 val_loss-1.4941] [4582/6864]
[train-e-48/150] [train_acc-0.9962 train_loss-0.7418] [20677/20756] 
[val-e-48/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-49/150] [train_acc-0.9960 train_loss-0.6197] [20674/20756] 
[val-e-49/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-50/150] [train_acc-0.9960 train_loss-0.8302] [20673/20756] 
[val-e-50/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-51/150] [train_acc-0.9950 train_loss-0.7534] [20653/20756] 
[val-e-51/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-52/150] [train_acc-0.9950 train_loss-0.2612] [20652/20756] 
[val-e-52/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
