[train-e-0/150] [train_acc-0.3053 train_loss-59.8221] [6337/20756] 
[val-e-0/150] [val_acc-0.3818 val_loss-1.7868] [2621/6864]
[train-e-1/150] [train_acc-0.6024 train_loss-37.7931] [12504/20756] 
[val-e-1/150] [val_acc-0.4384 val_loss-1.7148] [3009/6864]
[train-e-2/150] [train_acc-0.7697 train_loss-26.7803] [15976/20756] 
[val-e-2/150] [val_acc-0.4572 val_loss-1.7009] [3138/6864]
[train-e-3/150] [train_acc-0.8458 train_loss-14.4198] [17555/20756] 
[val-e-3/150] [val_acc-0.4760 val_loss-1.6779] [3267/6864]
[train-e-4/150] [train_acc-0.8887 train_loss-11.2515] [18446/20756] 
[val-e-4/150] [val_acc-0.5016 val_loss-1.6553] [3443/6864]
[train-e-5/150] [train_acc-0.9193 train_loss-10.8761] [19081/20756] 
[val-e-5/150] [val_acc-0.4965 val_loss-1.6605] [3408/6864]
[train-e-6/150] [train_acc-0.9352 train_loss-11.4036] [19412/20756] 
[val-e-6/150] [val_acc-0.4719 val_loss-1.6809] [3239/6864]
[train-e-7/150] [train_acc-0.9463 train_loss-7.8543] [19641/20756] 
[val-e-7/150] [val_acc-0.4907 val_loss-1.6655] [3368/6864]
[train-e-8/150] [train_acc-0.9568 train_loss-5.7598] [19859/20756] 
[val-e-8/150] [val_acc-0.5050 val_loss-1.6473] [3466/6864]
[train-e-9/150] [train_acc-0.9582 train_loss-7.2175] [19888/20756] 
[val-e-9/150] [val_acc-0.5160 val_loss-1.6457] [3542/6864]
[train-e-10/150] [train_acc-0.9722 train_loss-2.2921] [20180/20756] 
[val-e-10/150] [val_acc-0.4897 val_loss-1.6665] [3361/6864]
[train-e-11/150] [train_acc-0.9703 train_loss-4.8016] [20139/20756] 
[val-e-11/150] [val_acc-0.5016 val_loss-1.6538] [3443/6864]
[train-e-12/150] [train_acc-0.9752 train_loss-3.4345] [20242/20756] 
[val-e-12/150] [val_acc-0.5061 val_loss-1.6493] [3474/6864]
[train-e-13/150] [train_acc-0.9788 train_loss-2.1679] [20316/20756] 
[val-e-13/150] [val_acc-0.5259 val_loss-1.6325] [3610/6864]
[train-e-14/150] [train_acc-0.9830 train_loss-1.8236] [20403/20756] 
[val-e-14/150] [val_acc-0.4945 val_loss-1.6618] [3394/6864]
[train-e-15/150] [train_acc-0.9846 train_loss-1.1467] [20436/20756] 
