[rgb_acc-0.2079, flow_acc-0.1730]
[train-0/150] [acc-0.2159, loss-0.2143] [cor/total-272/1260]
[v:rgb_acc-0.2429, flow_acc-0.2500]
[val-0/150] [acc-0.3000, loss-0.0638] [cor/total-126/420]
[rgb_acc-0.2317, flow_acc-0.2040]
[train-1/150] [acc-0.2516, loss-0.0688] [cor/total-317/1260]
[v:rgb_acc-0.1643, flow_acc-0.2810]
[val-1/150] [acc-0.2905, loss-0.0627] [cor/total-122/420]
[rgb_acc-0.2175, flow_acc-0.2294]
[train-2/150] [acc-0.2444, loss-0.0635] [cor/total-308/1260]
[v:rgb_acc-0.1595, flow_acc-0.2857]
[val-2/150] [acc-0.2881, loss-0.0615] [cor/total-121/420]
[rgb_acc-0.2325, flow_acc-0.2556]
[train-3/150] [acc-0.2873, loss-0.0601] [cor/total-362/1260]
[v:rgb_acc-0.2333, flow_acc-0.3119]
[val-3/150] [acc-0.3381, loss-0.0598] [cor/total-142/420]
[rgb_acc-0.2468, flow_acc-0.2817]
[train-4/150] [acc-0.3032, loss-0.0585] [cor/total-382/1260]
[v:rgb_acc-0.2976, flow_acc-0.3214]
[val-4/150] [acc-0.3762, loss-0.0584] [cor/total-158/420]
[rgb_acc-0.2635, flow_acc-0.3008]
[train-5/150] [acc-0.3262, loss-0.0575] [cor/total-411/1260]
[v:rgb_acc-0.2881, flow_acc-0.3452]
[val-5/150] [acc-0.3833, loss-0.0577] [cor/total-161/420]
[rgb_acc-0.2690, flow_acc-0.3127]
[train-6/150] [acc-0.3389, loss-0.0571] [cor/total-427/1260]
[v:rgb_acc-0.2738, flow_acc-0.3667]
[val-6/150] [acc-0.3857, loss-0.0582] [cor/total-162/420]
[rgb_acc-0.2635, flow_acc-0.3238]
[train-7/150] [acc-0.3143, loss-0.0565] [cor/total-396/1260]
[v:rgb_acc-0.3119, flow_acc-0.3476]
[val-7/150] [acc-0.3952, loss-0.0569] [cor/total-166/420]
[rgb_acc-0.2738, flow_acc-0.3341]
[train-8/150] [acc-0.3405, loss-0.0557] [cor/total-429/1260]
[v:rgb_acc-0.3429, flow_acc-0.3381]
[val-8/150] [acc-0.3881, loss-0.0565] [cor/total-163/420]
[rgb_acc-0.2937, flow_acc-0.3373]
