[train-0/1000] [acc-0.5176, loss-0.0815] [2299/4442]
[val-0/1000] [acc-0.7648, loss-0.0408] [1122/1467]
[train-1/1000] [acc-0.8098, loss-0.0334] [3597/4442]
[val-1/1000] [acc-0.8146, loss-0.0348] [1195/1467]
[train-2/1000] [acc-0.8917, loss-0.0190] [3961/4442]
[val-2/1000] [acc-0.8350, loss-0.0329] [1225/1467]
[train-3/1000] [acc-0.9331, loss-0.0122] [4145/4442]
[val-3/1000] [acc-0.8303, loss-0.0381] [1218/1467]
[train-4/1000] [acc-0.9505, loss-0.0092] [4222/4442]
[val-4/1000] [acc-0.8500, loss-0.0355] [1247/1467]
[train-5/1000] [acc-0.9793, loss-0.0041] [4350/4442]
[val-5/1000] [acc-0.8507, loss-0.0411] [1248/1467]
[train-6/1000] [acc-0.9788, loss-0.0041] [4348/4442]
[val-6/1000] [acc-0.8473, loss-0.0421] [1243/1467]
[train-7/1000] [acc-0.9788, loss-0.0037] [4348/4442]
[val-7/1000] [acc-0.8534, loss-0.0424] [1252/1467]
[train-8/1000] [acc-0.9847, loss-0.0029] [4374/4442]
[val-8/1000] [acc-0.8425, loss-0.0509] [1236/1467]
[train-9/1000] [acc-0.9890, loss-0.0020] [4393/4442]
[val-9/1000] [acc-0.8453, loss-0.0503] [1240/1467]
[train-10/1000] [acc-0.9935, loss-0.0012] [4413/4442]
[val-10/1000] [acc-0.8439, loss-0.0465] [1238/1467]
[train-11/1000] [acc-0.9962, loss-0.0009] [4425/4442]
[val-11/1000] [acc-0.8459, loss-0.0465] [1241/1467]
[train-12/1000] [acc-0.9957, loss-0.0008] [4423/4442]
[val-12/1000] [acc-0.8494, loss-0.0483] [1246/1467]
[train-13/1000] [acc-0.9955, loss-0.0009] [4422/4442]
[val-13/1000] [acc-0.8459, loss-0.0468] [1241/1467]
[train-14/1000] [acc-0.9966, loss-0.0007] [4427/4442]
[val-14/1000] [acc-0.8528, loss-0.0474] [1251/1467]
[train-15/1000] [acc-0.9966, loss-0.0008] [4427/4442]
[val-15/1000] [acc-0.8534, loss-0.0465] [1252/1467]
[train-16/1000] [acc-0.9971, loss-0.0006] [4429/4442]
[val-16/1000] [acc-0.8541, loss-0.0447] [1253/1467]
[train-17/1000] [acc-0.9968, loss-0.0006] [4428/4442]
[val-17/1000] [acc-0.8555, loss-0.0468] [1255/1467]
[train-18/1000] [acc-0.9986, loss-0.0004] [4436/4442]
[val-18/1000] [acc-0.8616, loss-0.0461] [1264/1467]
[train-19/1000] [acc-0.9993, loss-0.0004] [4439/4442]
[val-19/1000] [acc-0.8616, loss-0.0465] [1264/1467]
[train-20/1000] [acc-0.9984, loss-0.0005] [4435/4442]
[val-20/1000] [acc-0.8582, loss-0.0466] [1259/1467]
[train-21/1000] [acc-0.9964, loss-0.0006] [4426/4442]
[val-21/1000] [acc-0.8562, loss-0.0465] [1256/1467]
[train-22/1000] [acc-0.9971, loss-0.0006] [4429/4442]
[val-22/1000] [acc-0.8534, loss-0.0458] [1252/1467]
[train-23/1000] [acc-0.9980, loss-0.0004] [4433/4442]
[val-23/1000] [acc-0.8507, loss-0.0486] [1248/1467]
[train-24/1000] [acc-0.9971, loss-0.0005] [4429/4442]
[val-24/1000] [acc-0.8603, loss-0.0468] [1262/1467]
[train-25/1000] [acc-0.9991, loss-0.0003] [4438/4442]
[val-25/1000] [acc-0.8466, loss-0.0495] [1242/1467]
[train-26/1000] [acc-0.9980, loss-0.0005] [4433/4442]
[val-26/1000] [acc-0.8473, loss-0.0476] [1243/1467]
[train-27/1000] [acc-0.9968, loss-0.0005] [4428/4442]
[val-27/1000] [acc-0.8453, loss-0.0484] [1240/1467]
[train-28/1000] [acc-0.9986, loss-0.0003] [4436/4442]
[val-28/1000] [acc-0.8514, loss-0.0488] [1249/1467]
[train-29/1000] [acc-0.9975, loss-0.0005] [4431/4442]
[val-29/1000] [acc-0.8534, loss-0.0483] [1252/1467]
[train-30/1000] [acc-0.9986, loss-0.0003] [4436/4442]
[val-30/1000] [acc-0.8569, loss-0.0486] [1257/1467]
[train-31/1000] [acc-0.9975, loss-0.0005] [4431/4442]
[val-31/1000] [acc-0.8548, loss-0.0466] [1254/1467]
[train-32/1000] [acc-0.9980, loss-0.0005] [4433/4442]
[val-32/1000] [acc-0.8548, loss-0.0471] [1254/1467]
[train-33/1000] [acc-0.9986, loss-0.0004] [4436/4442]
[val-33/1000] [acc-0.8555, loss-0.0471] [1255/1467]
[train-34/1000] [acc-0.9989, loss-0.0004] [4437/4442]
[val-34/1000] [acc-0.8609, loss-0.0463] [1263/1467]
[train-35/1000] [acc-0.9986, loss-0.0004] [4436/4442]
[val-35/1000] [acc-0.8528, loss-0.0470] [1251/1467]
[train-36/1000] [acc-0.9980, loss-0.0004] [4433/4442]
[val-36/1000] [acc-0.8500, loss-0.0466] [1247/1467]
[train-37/1000] [acc-0.9975, loss-0.0006] [4431/4442]
[val-37/1000] [acc-0.8528, loss-0.0487] [1251/1467]
[train-38/1000] [acc-0.9982, loss-0.0004] [4434/4442]
[val-38/1000] [acc-0.8575, loss-0.0457] [1258/1467]
[train-39/1000] [acc-0.9993, loss-0.0003] [4439/4442]
[val-39/1000] [acc-0.8569, loss-0.0485] [1257/1467]
[train-40/1000] [acc-0.9980, loss-0.0004] [4433/4442]
[val-40/1000] [acc-0.8514, loss-0.0466] [1249/1467]
[train-41/1000] [acc-0.9977, loss-0.0005] [4432/4442]
[val-41/1000] [acc-0.8507, loss-0.0491] [1248/1467]
