[train-0/1000] [acc-0.5810, loss-0.0719] [2581/4442]
[val-0/1000] [acc-0.7587, loss-0.0446] [1113/1467]
[train-1/1000] [acc-0.8375, loss-0.0287] [3720/4442]
[val-1/1000] [acc-0.8078, loss-0.0381] [1185/1467]
[train-2/1000] [acc-0.9093, loss-0.0164] [4039/4442]
[val-2/1000] [acc-0.8050, loss-0.0415] [1181/1467]
[train-3/1000] [acc-0.9282, loss-0.0132] [4123/4442]
[val-3/1000] [acc-0.8180, loss-0.0448] [1200/1467]
[train-4/1000] [acc-0.9482, loss-0.0094] [4212/4442]
[val-4/1000] [acc-0.8200, loss-0.0430] [1203/1467]
[train-5/1000] [acc-0.9638, loss-0.0068] [4281/4442]
[val-5/1000] [acc-0.8098, loss-0.0450] [1188/1467]
[train-6/1000] [acc-0.9829, loss-0.0036] [4366/4442]
[val-6/1000] [acc-0.8262, loss-0.0423] [1212/1467]
[train-7/1000] [acc-0.9860, loss-0.0024] [4380/4442]
[val-7/1000] [acc-0.8187, loss-0.0421] [1201/1467]
[train-8/1000] [acc-0.9903, loss-0.0019] [4399/4442]
[val-8/1000] [acc-0.8350, loss-0.0402] [1225/1467]
[train-9/1000] [acc-0.9932, loss-0.0013] [4412/4442]
[val-9/1000] [acc-0.8309, loss-0.0401] [1219/1467]
[train-10/1000] [acc-0.9964, loss-0.0009] [4426/4442]
[val-10/1000] [acc-0.8378, loss-0.0419] [1229/1467]
[train-11/1000] [acc-0.9959, loss-0.0008] [4424/4442]
[val-11/1000] [acc-0.8384, loss-0.0401] [1230/1467]
[train-12/1000] [acc-0.9948, loss-0.0009] [4419/4442]
[val-12/1000] [acc-0.8384, loss-0.0436] [1230/1467]
